date,value
2020-01-01,100.85730920613298
2020-01-02,99.11684808049162
2020-01-03,102.20842607250394
2020-01-04,97.6749737541275
2020-01-05,100.57477462396434
2020-01-06,103.97960500205322
2020-01-07,104.53057088872029
2020-01-08,103.793505826709
2020-01-09,98.00058672806318
2020-01-10,108.73865615588483
2020-01-11,110.3419359724545
2020-01-12,115.00241885047517
2020-01-13,109.60490555903687
2020-01-14,108.01418089351561
2020-01-15,103.55125780198462
2020-01-16,116.68461673015186
2020-01-17,111.07030404939722
2020-01-18,111.4030083536473
2020-01-19,109.76915861634396
2020-01-20,110.05108547131132
2020-01-21,115.68186054748341
2020-01-22,107.73092108141957
2020-01-23,121.56078900869761
2020-01-24,121.06458079545969
2020-01-25,112.84767856802117
2020-01-26,110.88732666534122
2020-01-27,105.71681524375964
2020-01-28,110.11941184331911
2020-01-29,120.6070236080719
2020-01-30,119.11241866663026
2020-01-31,120.57938890183343
2020-02-01,109.45571409861294
2020-02-02,117.27401675767813
2020-02-03,126.65584563215677
2020-02-04,119.902549168981
2020-02-05,114.58114960389373
2020-02-06,120.94119679207735
2020-02-07,118.19727120470858
2020-02-08,124.27038573715825
2020-02-09,123.25075041405526
2020-02-10,126.40686057915732
2020-02-11,118.13935432542495
2020-02-12,122.52014819444882
2020-02-13,130.7467477532747
2020-02-14,119.05003142263779
2020-02-15,121.32866329374859
2020-02-16,127.85936422679927
2020-02-17,128.81097161638164
2020-02-18,125.44323745575817
2020-02-19,127.00113633899247
2020-02-20,131.56082409398888
2020-02-21,133.6397812049667
2020-02-22,124.53785640759985
2020-02-23,132.1933051018103
2020-02-24,138.41485145475926
2020-02-25,130.7536346446557
2020-02-26,126.40742197193059
2020-02-27,126.64482145144707
2020-02-28,131.93534011966355
2020-02-29,138.3770373227589
2020-03-01,133.44776770012123
2020-03-02,135.04637270339558
2020-03-03,129.5620384792706
2020-03-04,139.89768741981499
2020-03-05,129.68692862252857
2020-03-06,133.3205842668452
2020-03-07,139.41516388405557
2020-03-08,126.48558890792697
2020-03-09,137.9643007659521
2020-03-10,132.3054270484441
2020-03-11,137.9843540476732
2020-03-12,136.53661618599608
2020-03-13,149.21579484522488
2020-03-14,137.1051465581972
2020-03-15,148.66251407096857
2020-03-16,142.75686557146244
2020-03-17,136.18196934175896
2020-03-18,142.2047647194908
2020-03-19,139.3843674151822
2020-03-20,142.46714584663616
2020-03-21,138.03105963628988
2020-03-22,150.3897523094577
2020-03-23,146.8983787272763
2020-03-24,142.7569777023472
2020-03-25,151.56446737310614
2020-03-26,143.60524186610743
2020-03-27,149.03103912088065
2020-03-28,144.03759226025792
2020-03-29,146.1128002792199
2020-03-30,144.02753266719506
2020-03-31,145.19668396849588
2020-04-01,145.85237031495438
2020-04-02,141.9246674282074
2020-04-03,143.53568092579303
2020-04-04,144.71903101944213
2020-04-05,147.20723102922457
2020-04-06,146.1557442725369
2020-04-07,152.41786637295476
2020-04-08,151.026469614493
2020-04-09,146.04153535324983
2020-04-10,154.15852108819894
2020-04-11,156.83528083196194
2020-04-12,137.46578602181043
2020-04-13,152.55528912395204
2020-04-14,144.63203980650974
2020-04-15,152.29804507521027
2020-04-16,154.67708382644474
2020-04-17,144.28678988578628
2020-04-18,139.59027197593315
2020-04-19,153.20355638729103
2020-04-20,149.87223036099724
2020-04-21,141.0162410441241
2020-04-22,162.1638920658324
2020-04-23,152.79025383348272
2020-04-24,153.16523300587724
2020-04-25,156.78492432190558
2020-04-26,147.18738481055263
2020-04-27,150.87405156174853
2020-04-28,143.75009801449474
2020-04-29,147.4265864124676
2020-04-30,152.50899009798212
2020-05-01,142.3634160421952
2020-05-02,147.6123777637678
2020-05-03,146.25302916331407
2020-05-04,151.6969730558705
2020-05-05,153.9488239296759
2020-05-06,154.8699353821919
2020-05-07,156.23221275049903
2020-05-08,158.172834283744
2020-05-09,154.41781956372137
2020-05-10,160.88289653048986
2020-05-11,152.10369905147405
2020-05-12,150.69495830116597
2020-05-13,154.64895164312003
2020-05-14,150.5767490799635
2020-05-15,160.96362567015714
2020-05-16,157.3933922740819
2020-05-17,155.5232844699125
2020-05-18,152.4582266744722
2020-05-19,149.78887031154812
2020-05-20,155.35397127520238
2020-05-21,146.2289880009877
2020-05-22,159.54953708628395
2020-05-23,150.9989725784748
2020-05-24,153.41839748855597
2020-05-25,147.34691679558784
2020-05-26,155.50834317013212
2020-05-27,149.61970653466327
2020-05-28,155.12615713543352
2020-05-29,155.65525873632475
2020-05-30,148.61517341779728
2020-05-31,146.21758108401028
2020-06-01,159.47355573655057
2020-06-02,150.82841477166787
2020-06-03,152.88712057364606
2020-06-04,154.16036772713633
2020-06-05,145.43200524699319
2020-06-06,153.97868047976607
2020-06-07,152.12330118110728
2020-06-08,148.36990096809504
2020-06-09,145.76242090634622
2020-06-10,154.52982922021368
2020-06-11,157.09211097015447
2020-06-12,152.29759692321753
2020-06-13,144.18145076027565
2020-06-14,146.0143825910711
2020-06-15,149.08593031141373
2020-06-16,159.01348014100574
2020-06-17,149.89888901442714
2020-06-18,148.73058529476185
2020-06-19,142.64541900585073
2020-06-20,147.66755688507487
2020-06-21,144.72326123462062
2020-06-22,145.80793030600248
2020-06-23,151.3584938724021
2020-06-24,148.68695556600238
2020-06-25,159.12351090672408
2020-06-26,155.94864452753507
2020-06-27,147.44622521051966
2020-06-28,145.8381025542081
2020-06-29,157.26657948434985
2020-06-30,158.58449313749637
2020-07-01,139.24378493754278
2020-07-02,150.6099961106217
2020-07-03,148.8170364650623
2020-07-04,153.2528886936096
2020-07-05,159.651730333133
2020-07-06,147.44954974869222
2020-07-07,139.49823240112426
2020-07-08,152.62920005084496
2020-07-09,156.61706620404956
2020-07-10,148.0822800966924
2020-07-11,146.01057445465457
2020-07-12,147.28509801134885
2020-07-13,153.65910573140624
2020-07-14,147.0736087533601
2020-07-15,150.92879992343768
2020-07-16,149.3644476816336
2020-07-17,148.79041836326743
2020-07-18,152.61720851611523
2020-07-19,146.66292300999794
2020-07-20,146.84970805399877
2020-07-21,152.93931320206235
2020-07-22,143.96726666845976
2020-07-23,144.45341882807597
2020-07-24,142.50770228821094
2020-07-25,153.01130442856885
2020-07-26,148.19935732064053
2020-07-27,142.11916825280827
2020-07-28,152.9204907688774
2020-07-29,145.84053516380365
2020-07-30,144.2293387526959
2020-07-31,147.58159501459397
2020-08-01,155.92872951005234
2020-08-02,146.53837778253973
2020-08-03,151.3710018193934
2020-08-04,152.11395464924547
2020-08-05,150.68238235676085
2020-08-06,154.8121347124271
2020-08-07,144.91534034552674
2020-08-08,143.23185639391576
2020-08-09,143.13485590816575
2020-08-10,147.7321349823454
2020-08-11,143.72774081044662
2020-08-12,149.21296365124957
2020-08-13,148.87635179459173
2020-08-14,153.6043689441176
2020-08-15,149.99133417962943
2020-08-16,146.48305520847512
2020-08-17,150.65042694859807
2020-08-18,143.481813572795
2020-08-19,148.4829897494984
2020-08-20,150.31598483626266
2020-08-21,149.4152959939567
2020-08-22,150.89827324898215
2020-08-23,145.66153314821722
2020-08-24,154.70537526588046
2020-08-25,158.12422011470173
2020-08-26,141.07291497700083
2020-08-27,143.0860489901022
2020-08-28,149.4620785037288
2020-08-29,148.05147112544142
2020-08-30,158.90884407699122
2020-08-31,150.623307047307
2020-09-01,156.58981485622547
2020-09-02,139.4893229922043
2020-09-03,153.91884373741948
2020-09-04,146.38871402132224
2020-09-05,146.43218125516617
2020-09-06,148.97703886723693
2020-09-07,143.2302277487763
2020-09-08,152.70681412335915
2020-09-09,151.59166542498784
2020-09-10,152.11975779973096
2020-09-11,155.3801962088951
2020-09-12,158.68076950103813
2020-09-13,149.45572923989556
2020-09-14,153.83410169452463
2020-09-15,153.09102242647282
2020-09-16,153.69858408953624
2020-09-17,153.96365405722636
2020-09-18,160.14908566458521
2020-09-19,150.0998601607569
2020-09-20,144.97703451979038
2020-09-21,149.32962859855405
2020-09-22,156.824447569992
2020-09-23,153.3797244169278
2020-09-24,151.15590737845946
2020-09-25,148.3481211721389
2020-09-26,155.0796290333771
2020-09-27,157.44421769799087
2020-09-28,156.00543924442167
2020-09-29,153.4697307276603
2020-09-30,155.73580725425015
2020-10-01,155.9789516670185
2020-10-02,156.50127581013678
2020-10-03,149.9152380520003
2020-10-04,157.11328081029603
2020-10-05,154.21946307571818
2020-10-06,161.92723868435385
2020-10-07,157.69633499241561
2020-10-08,161.52262018822648
2020-10-09,156.1556741365736
2020-10-10,156.6612303664946
2020-10-11,165.79212081682968
2020-10-12,160.8394354350479
2020-10-13,155.42789321779583
2020-10-14,163.83383582250798
2020-10-15,157.0367072441121
2020-10-16,161.1917348766601
2020-10-17,169.6123513746638
2020-10-18,153.64399414039843
2020-10-19,160.29858953758534
2020-10-20,163.60158533608794
2020-10-21,165.77204974765175
2020-10-22,156.1362888201205
2020-10-23,155.06294137069014
2020-10-24,168.60057100077765
2020-10-25,159.95514012456175
2020-10-26,160.16161053142042
2020-10-27,172.14545684432014
2020-10-28,165.1692388694869
2020-10-29,165.6337257377696
2020-10-30,164.7905866822038
2020-10-31,160.01191685361806
2020-11-01,169.9576996131784
2020-11-02,169.07894846062382
2020-11-03,168.33267416762442
2020-11-04,167.3701106472198
2020-11-05,166.95756694430645
2020-11-06,173.45389550366025
2020-11-07,168.66214215285174
2020-11-08,169.5301868427126
2020-11-09,172.98653672807419
2020-11-10,171.86808618620256
2020-11-11,179.53543999903553
2020-11-12,163.0175061887764
2020-11-13,173.82859307368565
2020-11-14,169.31011016819343
2020-11-15,168.64108761820592
2020-11-16,171.58380789377222
2020-11-17,174.66429013591025
2020-11-18,175.4120850773365
2020-11-19,167.86006334741418
2020-11-20,173.27496263246388
2020-11-21,177.9241328596033
2020-11-22,172.67479433431254
2020-11-23,172.03064779560015
2020-11-24,166.8726457432463
2020-11-25,175.3896181455846
2020-11-26,173.51317351233135
2020-11-27,174.90076206899465
2020-11-28,179.02372065032063
2020-11-29,177.94927704459093
2020-11-30,175.68594872271592
2020-12-01,171.50967763786215
2020-12-02,184.17513187550347
2020-12-03,187.00525515391132
2020-12-04,181.83770216551332
2020-12-05,183.0755303675049
2020-12-06,185.0040258131109
2020-12-07,193.4719461159648
2020-12-08,178.3299421560111
2020-12-09,184.68878985314498
2020-12-10,178.74634137353368
2020-12-11,189.76488178899686
2020-12-12,187.8326010260068
2020-12-13,190.16838126902564
2020-12-14,190.52188887832946
2020-12-15,195.31440324757924
2020-12-16,193.65774565718039
2020-12-17,195.72737432521996
2020-12-18,186.85635108885162
2020-12-19,198.76040618997058
2020-12-20,189.79450345052038
2020-12-21,190.69487293826705
2020-12-22,195.98737518974605
2020-12-23,196.75763303841063
2020-12-24,190.50447424368994
2020-12-25,195.6138145343769
2020-12-26,204.5384754000394
2020-12-27,190.37323760393275
2020-12-28,205.75907051750562
2020-12-29,197.74286666466176
2020-12-30,187.88119837800798
